,,,,632 Beacon,,,,,,140 BSR,,445',
,,,,(1-48),,,,.,,Rm. 121A,,,
,,,,,,,,1985',,(1-24),,,
1,A- Slot6 Port 1,Dist  6/11,A-Slot6 Port 3,R-Slot 1 Port 1,R-Slot 1 Port 5,A-Slot6 Port 8,A-Slot 7 Port 13,A-Slot 7 Port 21,,A-Slot 7 Port 3,R-Slot1 Port 13,R-Slot1 Port 16,
2,53 OB01,648-285-01,650-0501,Bays091-420-03,Bays091-620-05,NMRC-401EES02,BSR145-OB01,656-485A-01,140-121A-06,140-121AES05,140-191AES03,140-E692AES02,
3,A-Slot6 Port 19,A-Slot6 Port 6,A-Slot6 Port 2,,R-Slot 1 Port 4,R-Slot 1 Port 46,A-Slot 7 Port 15,,R-Slot1 Port 8,R-Slot1 Port 11,A-Slot 7 Port 6,R-Slot1 Port 17,
4,Deer019-0301,NMRCnet,648-0501,,Bays091-620-06,Bays091-820-03,Deer19-107-01,632-B01A-01,140-121AES03,140-191AES01,140-191AES04,140-W692AES01,
5,A-Slot 7 Port 19,A-Slot6 Port 7,A-Slot6 Port 4,R-Slot 1 Port 3,A-Slot6 Port 20,R-Slot 1 Port 47,A-Slot6 Port 18,,R-Slot1 Port 9,R-Slot1 Port 12,R-Slot1 Port 15,R-Slot1 Port 18,
6,MLK-net,Bookstore/net,656-0401,Bays091-420-04,533-0101,Bays091-820-04,071-B08-04,632-B01A-02,140-121AES04,140-191AES02,140-E692AES01,140-W692AES02,
,T1-A,T1-B,T1-C,T1-D,T1-E,T1-F,T1-G,T1-H,T1-I,T1-J,T1-K,T1-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,635 Comm.,,,,,,,,,
,,,,Room 192,,,,,To Hub 632,,,,
,,,,(1-48),,,,.,,,,,
,,,,,,,,875',(1-12 SM),,,,
1,pch to D5 & E5,,R-Slot? Port ?,R-Slot? Port ?,R-Slot? Port ?,A-Slot 7 Port 2,,,R-Slot 3 Port 4,,Circuit 55,Circuit 63 cumm111,
2,Al G.,,Bays139-0BXXes01,Bays181-0BXXes01,Bays207-0BXXes01,Comm635-0201,,,092-0BXXES01,,,,
3,,pch to R1 J1,R-Slot? Port ?,R-Slot? Port ?,,,,,Circuit 64 cumm111,,Circuit 59 cumm111,Circuit 65 cumm111,
4,,001-843A-02,Bays153-0BXXes01,Bays193-0BXXes01,,,,,,,,,
